Order ID,Order Date,Customer ID,Product ID,Quantity
MDQ-12521-841,29/07/2020,93469-25134-LG,E-M-0.5,4
FFC-72597-949,16/03/2023,29814-01459-RC,R-M-0.5,4
GQV-93410-660,18/08/2024,83543-79246-ON,A-L-0.5,3
OSK-78674-104,21/11/2023,11408-81032-UR,L-D-0.5,1
VMZ-76752-128,10/11/2021,98250-36552-VM,L-M-0.5,1
UTE-37025-589,05/08/2021,29769-58478-MS,A-D-1,4
LLV-85760-746,12/08/2021,44932-34838-RM,A-M-1,2
PCD-15451-869,03/09/2024,38487-01549-MV,E-M-0.5,2
VGB-32382-673,21/01/2019,88574-37083-WX,L-L-0.5,5
NYZ-18497-810,14/06/2022,04513-76520-QO,L-D-2.5,1
QLX-32057-234,10/03/2024,17957-12521-RL,L-M-1,3
FNN-53706-669,04/06/2020,59361-00606-CU,A-M-2.5,4
RQP-55142-687,22/07/2021,51940-02669-OR,R-M-2.5,1
BGS-73276-411,27/01/2020,57145-31023-FK,R-M-0.5,1
OZO-30702-386,01/07/2024,01433-04270-AX,R-D-0.5,2
JZL-42665-934,27/11/2022,04921-85445-SL,A-D-1,2
EGF-60238-380,29/10/2023,14307-87663-KB,A-D-1,2
ZGA-98907-902,06/03/2024,44086-16292-EU,E-M-1,4
COB-68014-677,06/08/2022,37430-29579-HD,A-L-0.5,1
GTG-50814-151,17/07/2019,34927-68586-ZV,L-D-2.5,2
BAQ-74241-156,24/07/2020,99869-55718-UU,R-D-0.2,4
XHK-98829-434,18/06/2023,37072-54695-LS,R-D-1,2
EDX-12754-684,04/03/2019,35276-65241-OZ,A-D-0.5,4
LOA-81886-312,31/01/2025,60255-12579-PZ,R-D-2.5,4
EAN-70613-743,20/08/2024,14398-43114-RV,A-D-1,5
MOM-82863-224,04/04/2019,41486-52502-QQ,A-L-1,1
RNE-63585-527,29/11/2021,27517-43747-YD,L-M-1,3
HKN-31467-517,24/10/2021,84045-66771-SL,L-M-1,6
ACV-46718-936,29/01/2025,72282-40594-RX,E-L-2.5,2
ZXF-96104-725,10/10/2021,49012-12987-QT,R-L-1,1
WSV-49732-075,17/01/2021,76263-95145-GJ,L-D-2.5,1
DTS-90270-588,28/01/2025,25514-23938-IQ,L-L-0.2,4
USG-84670-103,22/03/2020,89490-75361-AF,R-D-1,2
WTL-73567-857,23/04/2024,11212-69985-ZJ,A-L-0.5,4
UCB-22635-469,18/04/2023,83844-95908-RX,L-L-0.5,4
ZQR-79607-300,28/02/2022,46963-10322-ZA,L-M-2.5,3
ISH-71516-638,14/10/2019,23243-92649-RY,E-D-0.2,5
KOX-59543-216,14/06/2024,94341-60520-PF,A-D-0.2,5
FOU-56565-189,28/05/2020,37490-01572-JW,R-L-0.5,3
TKD-32918-306,18/12/2022,15064-65241-HB,R-M-0.2,1
EJV-17520-583,19/12/2019,15958-25089-OS,R-M-0.5,2
UYK-92827-601,16/02/2021,69904-02729-YS,R-M-0.5,3
JZC-22101-544,30/04/2022,69503-12127-YD,E-D-0.2,1
MVY-52170-452,28/11/2020,48464-99723-HK,E-D-0.5,3
AQT-83633-510,17/11/2019,49084-44492-OJ,R-M-0.2,4
GRH-83690-234,10/11/2023,21607-59134-EH,E-M-0.5,5
SHC-11842-424,26/11/2020,53120-45532-KL,L-M-0.2,1
IOR-37247-787,11/01/2022,10940-42739-ET,R-D-0.5,3
KQP-43286-482,22/01/2024,55982-77272-WZ,E-M-1,2
QEO-77058-876,26/06/2021,98636-90072-YE,R-L-1,1
STT-50290-939,07/12/2023,86768-91598-FA,L-M-2.5,4
ENQ-72529-681,23/11/2024,70879-00984-FJ,R-M-0.5,1
QPS-63007-771,07/07/2021,40535-56770-UM,R-M-0.2,2
RMX-23520-359,20/02/2025,76034-78710-GX,A-D-0.2,5
VUV-25590-525,24/11/2020,86071-79238-CX,L-D-2.5,3
DJJ-31977-345,12/12/2021,59367-30821-ZQ,E-M-0.2,3
WPO-52962-816,28/12/2021,88420-46464-XE,L-D-1,2
GKQ-82603-910,19/01/2020,83737-56117-JE,R-L-1,5
JBP-24511-273,21/06/2019,48873-84433-PN,L-M-2.5,4
JQR-96582-385,10/03/2025,86991-53901-AT,R-D-0.2,5
LWJ-06793-303,02/01/2022,95424-67020-AP,R-M-2.5,2
GKA-90450-677,02/01/2021,15764-22559-ZT,L-L-1,3
TBV-14715-229,26/10/2021,69529-07533-CV,E-D-1,1
WUV-92955-112,08/11/2020,10138-31681-SD,L-L-2.5,4
RCM-58795-804,05/05/2025,13082-41034-PD,A-M-2.5,1
ZJP-10158-411,26/10/2019,33158-17586-BK,L-L-2.5,5
MLQ-36010-895,12/07/2021,24891-77957-LU,A-M-1,1
KYC-49593-429,02/06/2023,47760-46907-JV,E-M-0.5,4
XPG-66112-335,19/07/2020,58118-22461-GC,R-D-2.5,4
TOK-12472-506,01/03/2022,25754-33191-ZI,R-L-0.2,3
WVQ-64260-132,06/04/2023,99735-44927-OL,A-D-1,4
QTN-51821-890,10/07/2021,53751-57560-CN,R-M-0.2,5
KSG-62601-445,04/02/2019,32038-81174-JF,E-D-0.2,1
FQM-16502-385,01/09/2020,27495-50635-YW,R-M-0.5,4
IHX-81507-265,20/09/2020,72778-50968-UQ,E-D-0.2,4
WMF-47459-551,12/04/2019,53035-99701-WG,R-D-0.5,2
VVO-76439-665,14/02/2020,91809-58808-TV,A-M-0.5,2
DWB-61381-370,09/04/2021,11812-00461-KH,L-L-0.2,2
CSQ-59342-530,12/01/2024,36698-57453-LU,L-L-0.5,2
FNV-31795-257,21/08/2024,17816-67941-ZS,A-M-0.2,1
